2ߤ  feqwfweqfe  ߤqwefeqwfewfewfewfewߤfewqfewqfqwefewqfweqfewqߤ1000ߤ10ߤ1. Planning
5ߤ  feqwߤfeqwߤfeqwfewqfweqߤ5000ߤ5ߤ1. Planning
6ߤ     gdfcxsy   ߤfeqfߤvcxyvycxfewqfwefcxycxyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyߤ1500ߤ5ߤ1. Planning
7ߤ  feqwfewqfweqfߤwefewqfweqfeqwߤfeqwfeqwfewqߤ200ߤ20ߤ1. Planning
8ߤ               feqfqewfeqwߤ              feqwfqwefewqߤfew                 feqwfeqwfeqwߤ200ߤ20ߤ1. Planning
9ߤ  ߤߤ200ߤ200ߤ2ߤ1. Planning
10ߤ  hgfdߤhgfhgfߤhfgdhfghfߤ200ߤ20ߤ1. Planning
11ߤ  fewqfewqߤfewqfewqfߤeqwfewqfewqߤ1000ߤ0.5ߤ5. Done
12ߤ   fqwefweq ߤfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqwqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqfewqfweqqfewqߤߤ200ߤ2ߤ1. Planning
13ߤ  edqwߤeqweqߤߤ200 hߤ12ߤ3. In Progress
14ߤ feqwfeqߤwfweqfewqߤfewqfewqfewqߤ1000hߤ15ߤ1. Planning
15ߤ  Lakeߤwe went to the lakeߤton of waterߤ700hߤ4ߤ3. In Progress
16ߤ  fewfweߤfewqfeߤwqfewqfweqfweqߤ100hߤ20ߤ1. Planning
2ߤ  feqwfweqfe  ߤqwefeqwfewfewfewfewߤfewqfewqfqwefewqfweqfewqߤ1000ߤ10ߤ1. Planning
5ߤ  feqwߤfeqwߤfeqwfewqfweqߤ5000ߤ5ߤ1. Planning
6ߤ     gdfcxsy   ߤfeqfߤvcxyvycxfewqfwefcxycxyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyߤ1500ߤ5ߤ1. Planning
7ߤ  feqwfewqfweqfߤwefewqfweqfeqwߤfeqwfeqwfewqߤ200ߤ20ߤ1. Planning
8ߤ               feqfqewfeqwߤ              feqwfqwefewqߤfew                 feqwfeqwfeqwߤ200ߤ20ߤ1. Planning
9ߤ  ߤߤ200ߤ200ߤ2ߤ1. Planning
10ߤ  hgfdߤhgfhgfߤhfgdhfghfߤ200ߤ20ߤ1. Planning
11ߤ  fewqfewqߤfewqfewqfߤeqwfewqfewqߤ1000ߤ0.5ߤ5. Done
